LeaveID,EmployeeID,LeaveType,LeaveStartDate,ExpectedReturnDate,ActualReturnDate,LeaveStatus
362,E100380,Bereavement Leave,2021-10-26,2021-12-18,,Did Not Return (Terminated)
363,E100795,Medical Leave,2024-12-29,2025-02-01,,Did Not Return (Terminated)
364,E100908,Bereavement Leave,2024-02-01,2024-05-27,,Did Not Return (Terminated)
365,E100243,Personal Leave,2021-08-24,2021-12-13,,Did Not Return (Terminated)
366,E101149,Parental Leave,2026-02-25,2026-04-17,,Did Not Return (Terminated)
367,E100120,Medical Leave,2024-04-21,2024-06-26,,Did Not Return (Terminated)
368,E100561,Sabbatical,2026-05-18,2026-07-17,,Did Not Return (Terminated)
369,E100321,Parental Leave,2026-06-14,2026-07-22,,Did Not Return (Terminated)
370,E100894,Medical Leave,2024-01-24,2024-05-22,,Did Not Return (Terminated)
371,E100304,Parental Leave,2021-04-07,2021-06-07,,Did Not Return (Terminated)
372,E100566,Bereavement Leave,2025-02-18,2025-04-29,,Did Not Return (Terminated)
373,E100787,Bereavement Leave,2025-04-27,2025-05-31,,Did Not Return (Terminated)
374,E100240,Military Leave,2022-04-23,2022-06-18,,Did Not Return (Terminated)
375,E100207,Parental Leave,2025-10-20,2026-01-12,,Did Not Return (Terminated)
376,E100836,Parental Leave,2026-06-02,2026-08-28,,Did Not Return (Terminated)
377,E100183,Medical Leave,2023-01-29,2023-05-06,,Did Not Return (Terminated)
378,E100820,Parental Leave,2025-05-17,2025-06-09,,Did Not Return (Terminated)
379,E100254,Personal Leave,2021-02-08,2021-05-30,,Did Not Return (Terminated)
380,E100885,Personal Leave,2025-06-19,2025-10-11,,Did Not Return (Terminated)
381,E100459,Medical Leave,2023-03-20,2023-06-13,,Did Not Return (Terminated)
382,E100672,Personal Leave,2023-02-05,2023-04-20,,Did Not Return (Terminated)
383,E100649,Medical Leave,2021-10-26,2021-12-04,,Did Not Return (Terminated)
384,E100499,Personal Leave,2025-04-01,2025-06-17,,Did Not Return (Terminated)
385,E100548,Parental Leave,2025-01-12,2025-03-18,,Did Not Return (Terminated)
386,E100227,Personal Leave,2023-10-16,2023-12-04,,Did Not Return (Terminated)
387,E100377,Sabbatical,2023-02-07,2023-03-04,,Did Not Return (Terminated)
388,E100644,Medical Leave,2023-05-09,2023-06-03,,Did Not Return (Terminated)
389,E100074,Personal Leave,2022-05-26,2022-08-12,,Did Not Return (Terminated)
390,E100053,Parental Leave,2025-10-23,2026-03-05,,Did Not Return (Terminated)
391,E101070,Sabbatical,2025-06-30,2025-10-17,,Did Not Return (Terminated)
392,E100201,Sabbatical,2021-12-03,2022-01-27,,Did Not Return (Terminated)
393,E100161,Medical Leave,2021-10-15,2021-11-28,,Did Not Return (Terminated)
394,E100287,Sabbatical,2024-02-12,2024-06-20,,Did Not Return (Terminated)
395,E100333,Parental Leave,2022-12-19,2023-04-07,,Did Not Return (Terminated)
396,E100746,Bereavement Leave,2026-04-19,2026-06-17,,Did Not Return (Terminated)
397,E100715,Medical Leave,2024-07-18,2024-11-05,,Did Not Return (Terminated)
398,E100936,Medical Leave,2025-12-22,2026-03-04,,Did Not Return (Terminated)
399,E100386,Medical Leave,2022-11-11,2023-03-06,,Did Not Return (Terminated)
400,E100159,Military Leave,2021-09-28,2021-12-27,,Did Not Return (Terminated)
401,E100112,Medical Leave,2024-05-27,2024-08-20,,Did Not Return (Terminated)
402,E100815,Personal Leave,2023-03-26,2023-07-02,,Did Not Return (Terminated)
403,E100992,Personal Leave,2026-03-26,2026-06-01,,Did Not Return (Terminated)
404,E100762,Parental Leave,2022-12-24,2023-02-01,,Did Not Return (Terminated)
405,E100755,Parental Leave,2026-03-11,2026-08-18,,Did Not Return (Terminated)
406,E100527,Medical Leave,2024-08-31,2024-10-20,,Did Not Return (Terminated)
407,E100905,Parental Leave,2026-01-31,2026-03-05,,Did Not Return (Terminated)
408,E100493,Medical Leave,2024-01-17,2024-06-21,,Did Not Return (Terminated)
409,E100977,Bereavement Leave,2025-10-30,2026-01-19,,Did Not Return (Terminated)
410,E100217,Personal Leave,2021-12-27,2022-03-11,,Did Not Return (Terminated)
411,E100352,Parental Leave,2022-02-20,2022-04-03,,Did Not Return (Terminated)
412,E100319,Military Leave,2026-06-05,2026-08-21,,Did Not Return (Terminated)
413,E100196,Personal Leave,2023-12-14,2024-03-06,,Did Not Return (Terminated)
414,E100579,Bereavement Leave,2022-08-28,2022-11-29,,Did Not Return (Terminated)
415,E100507,Personal Leave,2023-09-19,2023-12-16,,Did Not Return (Terminated)
416,E100233,Medical Leave,2025-01-24,2025-03-15,,Did Not Return (Terminated)
417,E100385,Medical Leave,2021-07-30,2021-10-07,,Did Not Return (Terminated)
418,E100456,Parental Leave,2021-02-16,2021-05-13,,Did Not Return (Terminated)
419,E100515,Medical Leave,2022-04-29,2022-07-01,,Did Not Return (Terminated)
420,E100979,Parental Leave,2025-03-13,2025-04-10,,Did Not Return (Terminated)
421,E100081,Personal Leave,2024-10-13,2025-01-15,,Did Not Return (Terminated)
422,E100009,Bereavement Leave,2023-07-12,2023-09-21,,Did Not Return (Terminated)
423,E100316,Sabbatical,2023-12-08,2024-03-07,,Did Not Return (Terminated)
424,E100759,Medical Leave,2022-12-18,2023-03-29,,Did Not Return (Terminated)
425,E100280,Medical Leave,2021-01-23,2021-05-16,,Did Not Return (Terminated)
426,E100220,Medical Leave,2021-10-25,2022-01-08,,Did Not Return (Terminated)
427,E100444,Sabbatical,2021-08-30,2021-12-12,,Did Not Return (Terminated)
428,E100403,Sabbatical,2024-10-05,2024-12-23,,Did Not Return (Terminated)
429,E100840,Military Leave,2024-12-12,2025-03-26,,Did Not Return (Terminated)
430,E100104,Sabbatical,2025-06-18,2025-07-14,,Did Not Return (Terminated)
431,E100213,Medical Leave,2022-07-02,2022-10-29,,Did Not Return (Terminated)
432,E100381,Bereavement Leave,2024-05-08,2024-07-27,,Did Not Return (Terminated)
433,E100504,Parental Leave,2025-10-21,2026-01-27,,Did Not Return (Terminated)
